Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
Trio,0.03125,0.0625,0,1,1000,699
Lava,2.0,16.0,5,8,3000,5790
nuvo,0.03125,0.03125,0,1,1000,799
Kara,0.0009765625,0.0009765625,0,0,4000,799
Vivo,3.0,32.0,16,13,3000,15715
Tork,0.03125,0.03125,0,0,2500,1090
Kara,0.009765625,0.009765625,0,0,1350,489
Niamia,0.03125,0.03125,0,0,1000,1849
Samsung,4.0,64.0,24,24,3300,19999
Meizu,2.0,16.0,5,13,3000,3849
Niamia,0.03125,0.03125,0,0,1000,1799
Ziox,0.125,0.01953125,0,0,1800,895
Ziox,1.0,8.0,0,5,2450,5553
Itel,0.03125,0.03125,0,0,1000,1049
M-tech,0.03125,0.03125,0,0,2800,949
Zen,0.03125,0.03125,0,1,1000,1249
Tork,0.03125,0.03125,0,0,2800,999
Samsung,6.0,128.0,0,32,3500,21490
Micromax,0.03125,0.03125,0,0,800,949
Daps,0.03125,0.03125,0,0,1000,590
Intex,0.009765625,0.03125,0,0,1050,790
Samsung,3.0,16.0,5,13,3300,14990
MU,0.03125,0.03125,0,1,2400,1199
I,0.03125,0.03125,0,0,800,899
Forme,0.03125,0.03125,0,0,1050,899
Samsung,4.0,128.0,32,48,4000,20910
M-tech,0.03125,0.03125,0,0,1800,999
Grabo,0.0625,0.0625,0,0,1000,599
Micromax,0.03125,0.03125,0,0,800,841
OPPO,3.0,64.0,16,13,4230,12990
Tambo,0.0234375,0.0234375,0,0,1000,1049
InFocus,0.0234375,0.0234375,0,0,3000,1149
Gfive,0.03125,0.0625,0,0,1800,799
Tecno,4.0,64.0,16,13,3750,14074
Grabo,0.0625,0.0625,0,0,1000,529
Ziox,0.03125,0.03125,0,0,1000,724
Forme,0.03125,0.03125,0,0,600,1249
POCO,8.0,256.0,20,12,4000,18999
Mobiistar,2.0,16.0,8,8,3000,6799
LG,4.0,128.0,5,16,3300,14999
Asus,6.0,64.0,48,48,5000,23999
JIVI,0.009765625,0.03125,0,0,1000,829
Tecno,3.0,32.0,16,13,3750,9800
Micromax,1.0,4.0,0,5,1900,5995
BlackZone,0.009765625,0.009765625,0,0,1000,550
Ziox,0.03125,0.03125,0,0,1800,998
OPPO,3.0,32.0,8,13,3180,11990
Ziox,0.5,0.5,0,0,1750,849
Nokia,1.0,8.0,0,8,4000,5499
Mymax,1.0,8.0,5,8,3000,3815
BlackZone,0.0625,0.0625,0,0,800,1185
SSKY,0.03125,0.03125,0,0,1200,2898
Nokia,2.0,32.0,5,13,4000,7499
Samsung,3.0,32.0,5,13,3000,14995
Intex,0.03125,0.03125,0,1,1700,1049
Kechaoda,0.5,0.03125,0,0,1000,1049
Vivo,2.0,16.0,5,8,4030,7600
Snexian,0.03125,0.03125,0,1,1000,649
Nokia,3.0,32.0,8,16,3000,8999
Tork,0.03125,0.03125,0,0,1000,749
Chilli,0.03125,0.03125,0,1,1500,1299
Coolpad,3.0,32.0,5,13,3000,5988
Tecno,3.0,32.0,16,13,3500,12425
Panasonic,4.0,64.0,16,16,4000,7299
Tecno,3.0,32.0,13,13,3500,9999
LG,4.0,64.0,8,16,3300,5999
Niamia,0.03125,0.03125,0,0,1000,949
Karbonn,0.03125,0.03125,0,0,1750,1249
I,0.03125,0.0625,0,0,800,1599
Mido,0.03125,0.03125,0,0,1000,750
Megus,0.03125,0.03125,0,0,800,599
Kara,0.009765625,0.009765625,0,0,2200,649
POCO,6.0,64.0,20,12,4000,15499
Itel,0.03125,0.03125,0,2,2500,1095
Itel,0.03125,0.03125,0,0,1000,880
Intex,0.0546875,0.0546875,0,0,1800,1449
nuvo,0.5,4.0,1,3,1400,2483
Zen,0.125,0.01953125,0,0,1000,849
ZIOX,1.0,8.0,0,8,2600,3199
Itel,2.0,16.0,0,5,2400,5200
ZIOX,0.125,0.01953125,0,0,800,700
Ziox,0.03125,0.03125,0,0,1000,700
InFocus,0.0234375,0.0234375,0,0,1800,962
Niamia,0.03125,0.03125,0,0,1000,1899
Kechaoda,0.03125,0.0625,0,0,1700,1349
Tecno,2.0,16.0,5,8,3000,6299
ZIOX,0.03125,0.03125,0,0,1000,725
Kechaoda,0.03125,0.03125,0,0,1200,1199
Shomi,0.03125,0.03125,0,0,1000,799
Kechaoda,0.03125,0.0625,0,0,1700,1049
Samsung,4.0,64.0,24,16,3500,21990
Ssky,0.0625,0.0625,0,1,1200,999
MU,0.0625,0.0625,0,0,100,1349
TECNO,2.0,16.0,0,13,4000,5224
ITEL,2.0,32.0,0,8,2400,5917
Samsung,3.0,32.0,8,13,3000,10499
Itel,0.03125,0.03125,0,1,1000,859
Ziox,0.03125,0.03125,0,0,1000,775
Ismart,0.03125,0.03125,0,0,2800,999
Tork,0.03125,0.03125,0,0,1000,1049
BlackBear,0.5,0.5,0,0,2000,996
Samsung,4.0,64.0,8,13,3000,14990
Homtom,2.0,16.0,0,13,3000,3715
Nokia,3.0,32.0,0,13,3500,8499
Itel,1.0,8.0,2,5,2400,5447
Itel,1.0,8.0,2,5,2400,5000
OPPO,3.0,16.0,5,13,3000,10990
Vivo,2.0,16.0,5,8,4030,7690
InFocus,2.0,16.0,0,13,5000,7500
BlackZone,0.009765625,0.009765625,0,0,1000,489
Samsung,8.0,128.0,48,48,3700,39990
Peace,0.03125,0.0625,0,0,850,1499
Lenovo,2.0,16.0,2,8,2900,6990
Redmi,4.0,64.0,5,13,4100,12999
Peace,0.015625,0.015625,0,0,1500,699
Lava,0.03125,0.03125,0,1,2500,1497
Samsung,6.0,128.0,32,48,4000,26957
Micromax,4.0,64.0,20,16,3000,6499
Tymes,0.03125,0.03125,0,1,1000,631
Intex,0.009765625,0.048828125,0,0,1750,888
Mafe,0.0625,0.0625,0,0,1800,1089
Tork,0.03125,0.03125,0,0,2800,1095
Panasonic,2.0,16.0,5,13,2600,8299
Ssky,0.03125,0.0341796875,0,1,1050,779
Itel,0.03125,0.03125,0,0,1000,1000
Gionee,1.0,16.0,0,5,2000,2799
Trio,0.03125,0.0625,0,1,1500,849
Micromax,1.0,8.0,2,5,2000,3340
BlackZone,0.009765625,0.009765625,0,0,1000,529
Samsung,6.0,64.0,8,12,3300,59900
Mafe,0.03125,0.0625,0,0,1050,695
Easyfone,0.03125,0.03125,0,0,800,3999
Kechaoda,0.03125,0.0625,0,0,1000,915
Gome,2.0,16.0,0,13,3000,4990
HTC,3.0,32.0,8,12,3300,8999
Redmi,2.0,32.0,8,13,5000,7495
Micromax,4.0,64.0,13,13,2730,5300
Redmi,3.0,32.0,8,13,5000,7750
Itel,1.0,8.0,0,2,2050,4990
Itel,1.0,8.0,0,2,2050,4590
Redmi,4.0,64.0,16,12,3080,10999
Peace,0.03125,0.03125,0,0,850,599
Samsung,3.0,32.0,5,13,3000,9999
BlackZone,0.0625,0.0625,0,0,1000,550
Blackbear,0.03125,0.03125,0,2,550,1110
Nokia,0.00390625,0.0078125,0,0,1020,1600
Peace,0.0625,0.25,0,0,850,610
I,2.0,16.0,0,5,2500,3399
