Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
Itel,0.00390625,0.00390625,0,0,3000,1270
Kechaoda,0.03125,0.03125,0,0,800,885
Kechaoda,0.03125,0.03125,0,0,800,940
Mobiistar,3.0,32.0,13,13,3000,6690
Lenovo,4.0,64.0,16,13,4050,7999
Easyfone,0.03125,0.03125,0,0,700,3349
Gfive,0.03125,0.03125,0,0,1000,499
Lava,0.03125,0.03125,0,1,1200,1479
Realme,6.0,64.0,16,16,3500,10999
Nokia,0.00390625,0.00390625,0,0,800,1245
Micromax,0.03125,0.03125,0,0,1750,849
Snexian,0.03125,0.03125,0,0,800,1160
Vivo,6.0,64.0,32,16,4500,16990
Snexian,0.03125,0.03125,0,0,1000,1145
Lava,0.03125,0.03125,0,1,1750,1579
Redmi,4.0,64.0,13,48,4000,12199
Karbonn,0.0625,0.0625,0,0,1800,1050
LG,4.0,128.0,5,16,3300,60000
Samsung,3.0,32.0,0,13,5000,10996
Itel,0.00390625,0.00390625,0,0,3000,1338
Samsung,6.0,128.0,32,48,4000,23999
Micromax,2.0,16.0,5,5,2200,3799
Asus,4.0,64.0,13,12,5000,11999
I,0.03125,0.03125,0,0,1000,639
Karbonn,0.03125,0.03125,0,0,1900,1039
Samsung,4.0,64.0,25,25,4000,13999
Karbonn,0.03125,0.03125,0,0,1900,1041
Lava,0.03125,0.0234375,0,0,1000,1050
Jmax,0.03125,0.03125,0,1,1000,499
Kechaoda,0.03125,0.03125,0,0,850,949
Karbonn,1.0,8.0,5,5,2300,3099
Ismart,2.0,32.0,5,8,3000,5290
Samsung,8.0,128.0,10,64,4500,73999
Karbonn,0.03125,0.03125,0,0,1000,899
Lava,0.00390625,0.0029296875,0,0,800,879
Redmi,3.0,32.0,5,13,3120,6999
Blackbear,0.0625,0.0625,0,1,1450,610
Motorola,6.0,128.0,5,16,2510,124999
iQOO,8.0,256.0,16,48,4440,39990
iQOO,8.0,128.0,16,48,4440,36990
OPPO,3.0,32.0,8,13,4230,7490
Jmax,0.03125,0.03125,0,1,1050,499
XOLO,2.0,16.0,5,8,3000,3999
Lava,1.0,16.0,5,8,3000,4699
