Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Original Price,Sale Price,Original Class,Sale Class
Karbonn,2.0,16.0,0,8,3000,4999,4999,Low,Low
Jivi,0.000976563,0.015625,0,0,1000,789,725,Low,Low
Kechaoda,0.03125,0.0625,0,0,1200,817,825,Low,Low
XOLO,1.0,8.0,5,5,2350,5299,5299,Budget,Budget
Zen,0.03125,0.03125,0,1,1000,1549,940,Low,Low
Winstar,0.03125,0.03125,0,0,600,1999,930,Low,Low
Karbonn,0.03125,0.03125,0,0,1000,849,849,Low,Low
Voto,2.0,16.0,8,13,3000,6599,6599,Budget,Budget
Kekai,1.0,16.0,0,5,2200,3899,3590,Low,Low
I,0.03125,0.0625,0,0,1000,1149,1099,Low,Low
Inovu,0.03125,0.03125,0,0,800,649,649,Low,Low
Nokia,3.0,32.0,8,13,3060,6999,6999,Budget,Budget
Inovu,0.03125,0.03125,0,0,1200,799,799,Low,Low
Easyfone,0.03125,0.03125,0,0,1000,2099,2099,Low,Low
ROKEA,0.25,0.03125,0,0,800,999,899,Low,Low
ITEL,1.0,8.0,0,2,2500,3834,3635,Low,Low
XOLO,6.0,128.0,16,13,3260,10599,10599,Budget,Budget
Lava,0.03125,0.0234375,0,0,1750,1399,1300,Low,Low
Tork,0.03125,0.03125,0,0,2500,899,899,Low,Low
Peace,0.03125,0.03125,0,0,1900,899,899,Low,Low
Gfive,0.03125,0.0625,0,0,1050,1199,1199,Low,Low
Vivo,4.0,32.0,8,13,3260,11790,10999,Budget,Budget
Micromax,0.024414063,0.024414063,0,0,1000,1040,1040,Low,Low
Yuho,4.0,32.0,0,13,3000,6499,6499,Budget,Budget
Yuho,4.0,32.0,0,13,3300,5999,6499,Budget,Budget
Kechaoda,0.001953125,0.03125,0,1,800,880,880,Low,Low
Tork,0.03125,0.03125,0,0,1000,840,799,Low,Low
ziox,0.125,0.01953125,0,0,800,699,700,Low,Low
Vivo,4.0,32.0,8,13,4030,16000,11041,Mid-Range,Budget
Moto,3.0,64.0,2,21,3900,31999,31999,Premium,Premium
SSKY,0.03125,0.03125,0,0,2400,799,799,Low,Low
Intex,0.03125,0.03125,0,0,800,845,845,Low,Low
Winstar,0.03125,0.03125,0,0,1500,1256,1256,Low,Low
InFocus,2.0,16.0,8,13,3000,4640,4299,Low,Low
Zen,0.03125,0.03125,0,1,800,850,850,Low,Low
Karbonn,0.03125,0.03125,0,0,1800,1249,1190,Low,Low
MTR,0.0625,0.0625,0,0,800,625,625,Low,Low
Ismart,0.03125,0.0625,1,1,1040,799,799,Low,Low
Blackzone,0.009765625,0.009765625,0,0,1000,599,599,Low,Low
Forme,0.01171875,0.01171875,0,1,2500,898,898,Low,Low
Jivi,0.004882813,0.03125,0,0,1000,825,825,Low,Low
Jivi,0.03125,0.03125,0,0,2750,999,999,Low,Low
Kechaoda,0.03125,0.03125,0,0,1700,990,944,Low,Low
Kechaoda,0.25,0.048828125,0,0,850,890,832,Low,Low
Redmi,3.0,32.0,16,12,3080,8999,8999,Budget,Budget
Gfive,0.03125,0.03125,0,1,1800,789,699,Low,Low
Ssky,0.03125,0.03125,0,1,1050,1249,1249,Low,Low
InFocus,0.03125,0.03125,0,0,1000,1110,989,Low,Low
Lenovo,1.0,16.0,2,8,2300,5499,5499,Budget,Budget
Honor,4.0,64.0,16,13,3000,14500,14500,Budget,Budget
Peace,0.03125,0.0625,0,0,850,1599,1599,Low,Low
Ziox,0.03125,0.03125,0,0,1000,799,799,Low,Low
Tecno,2.0,16.0,0,13,3050,6999,6999,Budget,Budget
Samsung,6.0,128.0,24,24,3300,17990,17990,Mid-Range,Mid-Range
I,0.03125,0.0625,0,0,800,1049,999,Low,Low
I,0.03125,0.0625,0,0,800,1795,1795,Low,Low
Itel,0.03125,0.03125,0,0,2500,1444,1199,Low,Low
Blackbear,0.03125,0.03125,0,1,1000,777,777,Low,Low
Tork,0.03125,0.03125,0,0,2500,999,999,Low,Low
Nokia,0.00390625,0.00390625,0,0,1020,1899,1899,Low,Low
OPPO,4.0,64.0,16,13,3075,15990,15990,Mid-Range,Mid-Range
M-tech,0.03125,0.03125,0,0,1800,1049,1049,Low,Low
Zen,0.03125,0.03125,0,1,1800,999,999,Low,Low
I,0.03125,0.0625,0,0,800,1497,1497,Low,Low
Yu,1.0,8.0,2,8,2000,4695,4695,Low,Low
Nokia,0.015625,0.015625,0,0,1020,2499,2499,Low,Low
Karbonn,0.009765625,0.009765625,0,0,1700,821,821,Low,Low
Itel,0.0625,0.0625,0,0,1500,1394,1394,Low,Low
Ssky,2.0,16.0,5,13,3000,4999,4999,Low,Low
Shomi,0.03125,0.03125,0,0,1750,510,510,Low,Low
MTR,0.0625,0.0625,0,0,800,599,599,Low,Low
Samsung,4.0,32.0,8,13,3000,15990,14500,Mid-Range,Budget
Comio,2.0,32.0,8,13,2700,7495,7495,Budget,Budget
ZIOX,0.03125,0.03125,0,0,1000,825,825,Low,Low
Samsung,6.0,64.0,0,24,3700,34999,20900,Premium,Mid-Range
Grabo,0.0625,0.0625,0,0,1000,489,489,Low,Low
Redmi,6.0,64.0,20,48,4000,19999,19999,Mid-Range,Mid-Range
ZIOX,1.0,8.0,0,5,2500,3731,4249,Low,Low
MTR,0.0625,0.0625,0,0,800,1099,1099,Low,Low
Samsung,4.0,128.0,32,48,4000,22450,19950,Mid-Range,Mid-Range
Zen,0.03125,0.03125,0,1,800,790,790,Low,Low
MTR,0.0625,0.0625,0,0,800,1599,1599,Low,Low
Gionee,2.0,16.0,5,13,3000,5487,5487,Budget,Budget
BlackZone,0.03125,0.03125,0,0,1000,1180,1180,Low,Low
Kechaoda,0.03125,0.03125,0,0,300,1299,1200,Low,Low
Panasonic,2.0,16.0,5,8,2500,7999,7999,Budget,Budget
Lenovo,1.0,8.0,1,8,3000,13604,13604,Budget,Budget
Gfive,0.03125,0.03125,0,1,1200,1999,1999,Low,Low
Samsung,3.0,16.0,8,13,3300,11200,11200,Budget,Budget
Comio,1.0,32.0,5,8,2200,4995,3790,Low,Low
I,0.03125,0.0625,0,0,1000,799,799,Low,Low
Alcatel,1.0,8.0,0,8,2000,4999,4999,Low,Low
Karbonn,2.0,16.0,0,5,2250,6334,4450,Budget,Low
I,0.03125,0.0625,0,0,800,1799,1799,Low,Low
Gfive,0.03125,0.03125,0,0,1050,629,629,Low,Low
Intex,0.009765625,0.009765625,0,0,1700,1300,1300,Low,Low
Tecno,3.0,32.0,2,13,4000,8390,8890,Budget,Budget
Intex,2.0,16.0,0,8,2400,8499,8499,Budget,Budget
LG,4.0,64.0,0,16,4000,12990,11699,Budget,Budget
I,0.03125,0.0625,0,0,800,1499,1499,Low,Low
Kechaoda,0.03125,0.0625,0,0,400,1299,889,Low,Low
Micromax,0.03125,0.03125,0,0,2500,929,929,Low,Low
Lava,1.0,16.0,5,5,2550,4799,4799,Low,Low
Asus,4.0,32.0,5,13,3000,19999,19999,Mid-Range,Mid-Range
Kechaoda,0.03125,0.0625,0,0,1700,1100,939,Low,Low
I,0.0625,0.03125,0,0,1000,639,479,Low,Low
Huawei,8.0,256.0,0,40,4200,55990,55990,Premium,Premium
Tecno,3.0,32.0,8,13,3050,7199,7199,Budget,Budget
MTR,0.0625,0.0625,0,0,1200,949,949,Low,Low
InFocus,1.0,8.0,2,5,2200,4299,4299,Low,Low
ziox,0.03125,0.03125,0,0,1800,899,899,Low,Low
MTR,0.0625,0.0625,0,0,2000,999,999,Low,Low
Intex,0.030273438,0.03125,0,0,1050,790,790,Low,Low
Micromax,0.0546875,0.0546875,0,0,950,1186,1149,Low,Low
MTR,0.0625,0.0625,0,0,800,699,699,Low,Low
MTR,0.0625,0.0625,0,0,800,649,649,Low,Low
Kechaoda,0.03125,0.0625,0,0,700,990,990,Low,Low
Heemax,0.5,0.03125,0,0,1000,549,599,Low,Low
MTR,0.0625,0.0625,0,0,2000,949,949,Low,Low
Gfive,0.03125,0.03125,0,0,1050,599,599,Low,Low
Meizu,2.0,16.0,8,13,3000,3559,3589,Low,Low
Intex,0.01953125,0.01171875,0,0,1050,740,740,Low,Low
Yu,3.0,32.0,5,13,4000,4799,4799,Low,Low
MTR,0.0625,0.0625,0,0,2000,1049,1049,Low,Low
BlackZone,0.009765625,0.009765625,0,0,1500,699,699,Low,Low
Moto,2.0,16.0,5,8,2800,8499,8499,Budget,Budget
nuvo,0.03125,0.03125,0,1,800,588,588,Low,Low
Ssky,0.0625,0.0625,0,0,1200,999,999,Low,Low
InFocus,0.03125,0.03125,0,1,1000,641,949,Low,Low
Ziox,0.03125,0.03125,0,0,1800,999,899,Low,Low
Micromax,0.5,4.0,0,1,1200,2445,2445,Low,Low
BlackZone,1.0,8.0,5,5,2600,3200,3200,Low,Low
Megus,0.03125,0.03125,0,1,2700,1099,1099,Low,Low
Nokia,6.0,64.0,16,16,3060,11490,11490,Budget,Budget
Micromax,0.0546875,0.0234375,0,0,1750,999,999,Low,Low
I,0.03125,0.0625,0,0,1000,699,699,Low,Low
Samsung,4.0,64.0,0,13,5000,13899,13899,Budget,Budget
Ziox,0.03125,0.03125,0,0,1000,900,799,Low,Low
Krex,0.03125,0.03125,0,0,1000,699,699,Low,Low
Karbonn,0.03125,0.03125,0,0,1750,875,875,Low,Low
Forme,0.03125,0.03125,0,0,1500,890,890,Low,Low
SHOMI,0.03125,0.03125,0,0,1000,799,799,Low,Low
Redmi,4.0,64.0,13,12,4000,10989,10989,Budget,Budget
SAMSOTEL,0.03125,0.03125,0,0,1000,929,929,Low,Low
MTR,0.0625,0.0625,0,0,800,650,650,Low,Low
Honor,3.0,32.0,5,13,3020,11500,7999,Budget,Budget
Tecno,4.0,64.0,16,13,3500,8850,9199,Budget,Budget
GIVA,0.03125,0.009765625,0,0,1100,499,499,Low,Low
Itel,1.0,8.0,2,5,2400,4399,4399,Low,Low
Peace,0.0625,0.25,0,0,850,749,625,Low,Low
Karbonn,0.03125,0.03125,0,0,800,709,699,Low,Low
SSKY,2.0,16.0,5,13,3000,4299,4299,Low,Low
Kara,0.000976563,0.000976563,0,0,1700,675,675,Low,Low
Samsung,8.0,128.0,10,16,3400,66999,66999,Premium,Premium
Trio,0.03125,0.0625,0,1,1500,669,669,Low,Low
Honor,4.0,64.0,8,12,3000,15999,15999,Mid-Range,Mid-Range
CAT,3.0,32.0,5,13,3800,46500,46500,Premium,Premium
Tecno,2.0,16.0,8,13,3050,5199,5199,Budget,Budget
Gionee,3.0,32.0,8,13,3550,5499,5499,Budget,Budget
Nokia,4.0,64.0,20,48,3500,15499,15499,Mid-Range,Mid-Range
Samsung,6.0,128.0,16,48,6000,17990,16850,Mid-Range,Mid-Range
MTR,0.0625,0.0625,0,0,800,899,899,Low,Low
OPPO,4.0,64.0,8,13,3180,9750,9750,Budget,Budget
Lava,2.0,16.0,5,8,3000,5958,5958,Budget,Budget
Ziox,0.03125,0.03125,0,0,3000,1099,1099,Low,Low
MTR,0.0625,0.0625,0,0,800,999,999,Low,Low
Kara,0.000976563,0.000976563,0,0,1700,700,700,Low,Low
BlackZone,0.0625,0.0625,0,0,1800,799,799,Low,Low
MTR,0.0625,0.0625,0,0,800,799,799,Low,Low
Tork,0.03125,0.03125,0,0,2800,1199,1199,Low,Low
I,1.0,8.0,0,5,2200,3099,3099,Low,Low
Hicell,0.03125,0.0625,0,0,1050,499,599,Low,Low
M-tech,0.03125,0.03125,0,0,1000,1040,1040,Low,Low
ZIOX,0.03125,0.03125,0,0,2500,848,848,Low,Low
Lenovo,2.0,16.0,2,8,2900,7800,5999,Budget,Budget
Panasonic,3.0,32.0,5,13,4000,5728,5728,Budget,Budget
Intex,0.03125,0.03125,0,1,1700,1165,1165,Low,Low
Itel,0.03125,0.03125,0,0,1000,899,899,Low,Low
Tecno,2.0,32.0,16,13,3500,8999,8999,Budget,Budget
Ismart,0.00390625,16.0,0,1,2800,1049,1049,Low,Low
Trio,0.03125,0.0625,0,1,1000,699,699,Low,Low
Lava,2.0,16.0,5,8,3000,5790,7500,Budget,Budget
nuvo,0.03125,0.03125,0,1,1000,799,799,Low,Low
Kara,0.000976563,0.000976563,0,0,4000,799,799,Low,Low
Vivo,3.0,32.0,16,13,3000,15715,14499,Mid-Range,Budget
Tork,0.03125,0.03125,0,0,2500,1090,1050,Low,Low
Kara,0.009765625,0.009765625,0,0,1350,489,489,Low,Low
Niamia,0.03125,0.03125,0,0,1000,1849,1349,Low,Low
Samsung,4.0,64.0,24,24,3300,19999,16990,Mid-Range,Mid-Range
Meizu,2.0,16.0,5,13,3000,3849,3849,Low,Low
Niamia,0.03125,0.03125,0,0,1000,1799,1799,Low,Low
Ziox,0.125,0.01953125,0,0,1800,895,895,Low,Low
Ziox,1.0,8.0,0,5,2450,5553,3999,Budget,Low
Itel,0.03125,0.03125,0,0,1000,1049,1049,Low,Low
M-tech,0.03125,0.03125,0,0,2800,949,949,Low,Low
Zen,0.03125,0.03125,0,1,1000,1249,1099,Low,Low
Tork,0.03125,0.03125,0,0,2800,999,999,Low,Low
Samsung,6.0,128.0,0,32,3500,21490,18990,Mid-Range,Mid-Range
Micromax,0.03125,0.03125,0,0,800,949,949,Low,Low
Daps,0.03125,0.03125,0,0,1000,590,590,Low,Low
Intex,0.009765625,0.03125,0,0,1050,790,790,Low,Low
Samsung,3.0,16.0,5,13,3300,14990,14990,Budget,Budget
MU,0.03125,0.03125,0,1,2400,1199,1199,Low,Low
I,0.03125,0.03125,0,0,800,899,899,Low,Low
Forme,0.03125,0.03125,0,0,1050,899,899,Low,Low
Samsung,4.0,128.0,32,48,4000,20910,19950,Mid-Range,Mid-Range
M-tech,0.03125,0.03125,0,0,1800,999,999,Low,Low
Grabo,0.0625,0.0625,0,0,1000,599,599,Low,Low
Micromax,0.03125,0.03125,0,0,800,841,787,Low,Low
OPPO,3.0,64.0,16,13,4230,12990,12990,Budget,Budget
Tambo,0.0234375,0.0234375,0,0,1000,1049,1049,Low,Low
InFocus,0.0234375,0.0234375,0,0,3000,1149,1499,Low,Low
Gfive,0.03125,0.0625,0,0,1800,799,799,Low,Low
Tecno,4.0,64.0,16,13,3750,14074,14074,Budget,Budget
Grabo,0.0625,0.0625,0,0,1000,529,529,Low,Low
Ziox,0.03125,0.03125,0,0,1000,724,724,Low,Low
Forme,0.03125,0.03125,0,0,600,1249,1140,Low,Low
POCO,8.0,256.0,20,12,4000,18999,19999,Mid-Range,Mid-Range
Mobiistar,2.0,16.0,8,8,3000,6799,6799,Budget,Budget
LG,4.0,128.0,5,16,3300,14999,14999,Budget,Budget
Asus,6.0,64.0,48,48,5000,23999,23999,Mid-Range,Mid-Range
JIVI,0.009765625,0.03125,0,0,1000,829,829,Low,Low
Tecno,3.0,32.0,16,13,3750,9800,9800,Budget,Budget
Micromax,1.0,4.0,0,5,1900,5995,7499,Budget,Budget
BlackZone,0.009765625,0.009765625,0,0,1000,550,550,Low,Low
Ziox,0.03125,0.03125,0,0,1800,998,999,Low,Low
OPPO,3.0,32.0,8,13,3180,11990,11990,Budget,Budget
Ziox,0.5,0.5,0,0,1750,849,849,Low,Low
Nokia,1.0,8.0,0,8,4000,5499,5999,Budget,Budget
Mymax,1.0,8.0,5,8,3000,3815,3815,Low,Low
BlackZone,0.0625,0.0625,0,0,800,1185,1185,Low,Low
SSKY,0.03125,0.03125,0,0,1200,2898,2199,Low,Low
Nokia,2.0,32.0,5,13,4000,7499,7474,Budget,Budget
Samsung,3.0,32.0,5,13,3000,14995,14995,Budget,Budget
Intex,0.03125,0.03125,0,1,1700,1049,999,Low,Low
Kechaoda,0.5,0.03125,0,0,1000,1049,1048,Low,Low
Vivo,2.0,16.0,5,8,4030,7600,7600,Budget,Budget
Snexian,0.03125,0.03125,0,1,1000,649,649,Low,Low
Nokia,3.0,32.0,8,16,3000,8999,8999,Budget,Budget
Tork,0.03125,0.03125,0,0,1000,749,749,Low,Low
Chilli,0.03125,0.03125,0,1,1500,1299,1299,Low,Low
Coolpad,3.0,32.0,5,13,3000,5988,5988,Budget,Budget
Tecno,3.0,32.0,16,13,3500,12425,12425,Budget,Budget
Panasonic,4.0,64.0,16,16,4000,7299,7299,Budget,Budget
Tecno,3.0,32.0,13,13,3500,9999,9999,Budget,Budget
LG,4.0,64.0,8,16,3300,5999,5999,Budget,Budget
Niamia,0.03125,0.03125,0,0,1000,949,799,Low,Low
Karbonn,0.03125,0.03125,0,0,1750,1249,1249,Low,Low
I,0.03125,0.0625,0,0,800,1599,1599,Low,Low
Mido,0.03125,0.03125,0,0,1000,750,750,Low,Low
Megus,0.03125,0.03125,0,0,800,599,599,Low,Low
Kara,0.009765625,0.009765625,0,0,2200,649,649,Low,Low
POCO,6.0,64.0,20,12,4000,15499,15499,Mid-Range,Mid-Range
Itel,0.03125,0.03125,0,2,2500,1095,1095,Low,Low
Itel,0.03125,0.03125,0,0,1000,880,880,Low,Low
Intex,0.0546875,0.0546875,0,0,1800,1449,1449,Low,Low
nuvo,0.5,4.0,1,3,1400,2483,2483,Low,Low
Zen,0.125,0.01953125,0,0,1000,849,849,Low,Low
ZIOX,1.0,8.0,0,8,2600,3199,3199,Low,Low
Itel,2.0,16.0,0,5,2400,5200,5200,Budget,Budget
ZIOX,0.125,0.01953125,0,0,800,700,700,Low,Low
Ziox,0.03125,0.03125,0,0,1000,700,699,Low,Low
InFocus,0.0234375,0.0234375,0,0,1800,962,949,Low,Low
Niamia,0.03125,0.03125,0,0,1000,1899,1199,Low,Low
Kechaoda,0.03125,0.0625,0,0,1700,1349,975,Low,Low
Tecno,2.0,16.0,5,8,3000,6299,6299,Budget,Budget
ZIOX,0.03125,0.03125,0,0,1000,725,725,Low,Low
Kechaoda,0.03125,0.03125,0,0,1200,1199,1199,Low,Low
Shomi,0.03125,0.03125,0,0,1000,799,799,Low,Low
Kechaoda,0.03125,0.0625,0,0,1700,1049,975,Low,Low
Samsung,4.0,64.0,24,16,3500,21990,25999,Mid-Range,Mid-Range
Ssky,0.0625,0.0625,0,1,1200,999,999,Low,Low
MU,0.0625,0.0625,0,0,100,1349,1349,Low,Low
TECNO,2.0,16.0,0,13,4000,5224,5225,Budget,Budget
ITEL,2.0,32.0,0,8,2400,5917,5800,Budget,Budget
Samsung,3.0,32.0,8,13,3000,10499,10499,Budget,Budget
Itel,0.03125,0.03125,0,1,1000,859,859,Low,Low
Ziox,0.03125,0.03125,0,0,1000,775,775,Low,Low
Ismart,0.03125,0.03125,0,0,2800,999,999,Low,Low
Tork,0.03125,0.03125,0,0,1000,1049,1049,Low,Low
BlackBear,0.5,0.5,0,0,2000,996,996,Low,Low
Samsung,4.0,64.0,8,13,3000,14990,14990,Budget,Budget
Homtom,2.0,16.0,0,13,3000,3715,3715,Low,Low
Nokia,3.0,32.0,0,13,3500,8499,8499,Budget,Budget
Itel,1.0,8.0,2,5,2400,5447,5399,Budget,Budget
Itel,1.0,8.0,2,5,2400,5000,5000,Budget,Budget
OPPO,3.0,16.0,5,13,3000,10990,10957,Budget,Budget
Vivo,2.0,16.0,5,8,4030,7690,7690,Budget,Budget
InFocus,2.0,16.0,0,13,5000,7500,6999,Budget,Budget
BlackZone,0.009765625,0.009765625,0,0,1000,489,489,Low,Low
Samsung,8.0,128.0,48,48,3700,39990,39990,Premium,Premium
Peace,0.03125,0.0625,0,0,850,1499,1499,Low,Low
Lenovo,2.0,16.0,2,8,2900,6990,5999,Budget,Budget
Redmi,4.0,64.0,5,13,4100,12999,12999,Budget,Budget
Peace,0.015625,0.015625,0,0,1500,699,699,Low,Low
Lava,0.03125,0.03125,0,1,2500,1497,1497,Low,Low
Samsung,6.0,128.0,32,48,4000,26957,26952,Mid-Range,Mid-Range
Micromax,4.0,64.0,20,16,3000,6499,6499,Budget,Budget
Tymes,0.03125,0.03125,0,1,1000,631,649,Low,Low
Intex,0.009765625,0.048828125,0,0,1750,888,855,Low,Low
Mafe,0.0625,0.0625,0,0,1800,1089,1089,Low,Low
Tork,0.03125,0.03125,0,0,2800,1095,1095,Low,Low
Panasonic,2.0,16.0,5,13,2600,8299,5330,Budget,Budget
Ssky,0.03125,0.034179688,0,1,1050,779,779,Low,Low
Itel,0.03125,0.03125,0,0,1000,1000,1000,Low,Low
Gionee,1.0,16.0,0,5,2000,2799,6499,Low,Budget
Trio,0.03125,0.0625,0,1,1500,849,669,Low,Low
Micromax,1.0,8.0,2,5,2000,3340,3699,Low,Low
BlackZone,0.009765625,0.009765625,0,0,1000,529,529,Low,Low
Samsung,6.0,64.0,8,12,3300,59900,59900,Premium,Premium
Mafe,0.03125,0.0625,0,0,1050,695,695,Low,Low
Easyfone,0.03125,0.03125,0,0,800,3999,3999,Low,Low
Kechaoda,0.03125,0.0625,0,0,1000,915,1048,Low,Low
Gome,2.0,16.0,0,13,3000,4990,4990,Low,Low
HTC,3.0,32.0,8,12,3300,8999,8999,Budget,Budget
Redmi,2.0,32.0,8,13,5000,7495,7174,Budget,Budget
Micromax,4.0,64.0,13,13,2730,5300,5299,Budget,Budget
Redmi,3.0,32.0,8,13,5000,7750,7840,Budget,Budget
Itel,1.0,8.0,0,2,2050,4990,4990,Low,Low
Itel,1.0,8.0,0,2,2050,4590,4590,Low,Low
Redmi,4.0,64.0,16,12,3080,10999,10999,Budget,Budget
Peace,0.03125,0.03125,0,0,850,599,574,Low,Low
Samsung,3.0,32.0,5,13,3000,9999,9999,Budget,Budget
BlackZone,0.0625,0.0625,0,0,1000,550,550,Low,Low
Blackbear,0.03125,0.03125,0,2,550,1110,1110,Low,Low
Nokia,0.00390625,0.0078125,0,0,1020,1600,1600,Low,Low
Peace,0.0625,0.25,0,0,850,610,610,Low,Low
I,2.0,16.0,0,5,2500,3399,3399,Low,Low
