Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Prediction With Company,Price,Prediction Without Company
LG,3.0,32.0,16,12,4000,6999,8299,6999
I,4.0,64.0,5,8,3000,4499,4499,4499
Niamia,0.03125,0.03125,0,0,1000,799,1799,1199
Micromax,1.0,4.0,0,5,1900,999,5995,3199
Vivo,3.0,32.0,16,13,3000,14990,15715,6999
Zen,0.03125,0.03125,0,1,800,799,790,599
Kechaoda,0.03125,0.0625,0,0,1000,1199,915,1199
POCO,6.0,64.0,20,12,4000,4499,15499,4499
Karbonn,0.01171875,0.01171875,0,0,800,1199,1399,1199
Blackbear,2.0,16.0,5,8,2500,4499,4999,4499
Lenovo,4.0,64.0,16,13,4050,6999,10999,6999
Redmi,6.0,64.0,20,12,4000,4499,8999,4499
Moto,3.0,64.0,2,21,3900,9999,31999,9999
Vivo,6.0,64.0,32,16,4500,17990,17990,17990
Redmi,4.0,64.0,8,12,5000,7999,7999,7999
Kechaoda,0.03125,0.0625,0,0,1700,999,1349,999
nuvo,0.03125,0.03125,0,1,800,799,588,599
Redmi,2.0,32.0,8,12,5000,7999,6499,6999
Lava,2.0,16.0,5,8,3380,6999,5549,3699
I,2.0,16.0,0,5,2800,3699,3749,3699
Jivi,0.03125,0.03125,0,0,1000,1199,799,1199
I,2.0,16.0,0,5,2800,3699,3699,3699
I,0.03125,0.0625,0,0,1500,1199,1049,999
nuvo,0.03125,0.03125,0,1,1000,799,799,1199
Micromax,0.03125,0.03125,0,1,1000,799,819,1199
Karbonn,0.03125,0.03125,0,0,1750,999,949,999
Hicell,0.03125,0.0625,0,0,1050,1199,539,799
I,4.0,64.0,5,8,3000,4499,4499,4499
Salora,0.03125,0.03125,0,1,2700,999,1099,999
I,4.0,64.0,5,8,3000,4499,4499,4499
Peace,0.03125,0.0625,0,0,850,799,1099,1199
Lava,3.0,32.0,8,13,3000,6999,7999,4499
Jivi,0.0009765625,0.015625,0,0,1000,1199,789,1199
Bluboo,2.0,16.0,5,8,2700,4499,5299,4499
I,2.0,16.0,0,5,2800,3699,3699,3699
Tecno,2.0,32.0,16,13,3500,15990,8999,6999
I,2.0,16.0,0,5,2800,3699,3749,3699
Grabo,0.0625,0.0625,0,0,1000,599,599,1199
Snexian,0.03125,0.03125,0,1,1000,799,649,1199
I,2.0,16.0,0,5,2500,3699,3399,3699
I,2.0,16.0,0,5,2800,3699,3749,3699
Megus,0.03125,0.03125,0,0,800,799,599,599
Kara,0.0009765625,0.0009765625,0,0,1700,999,675,999
Blackbear,0.0625,0.0625,0,2,1000,599,599,1199
I,0.03125,0.0625,0,0,800,1199,1049,599
I,4.0,64.0,5,8,3000,4499,4499,4499
Lava,0.03125,0.03125,0,1,2500,999,1497,999
Muphone,0.03125,0.0625,0,0,1700,999,1099,999
