Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price,Prediction
OPPO,3,32,16,13,3200,17987,10999
I Kall,2,16,0,5,2500,3199,3599
I Kall,32,64,0,0,1500,449,599
Honor,4,64,16,13,3000,14500,4499
Bloom,32,32,0,0,2400,1199,5699
Samsung,6,64,8,12,3500,29999,10999
I Kall,2,16,0,5,2500,3399,3599
Nokia,2,16,5,13,3000,5999,4999
Zen,32,32,0,1,800,999,799
Lava,32,24,0,0,1750,1349,999
Meizu,2,16,8,13,3000,3539,4999
I Kall,32,32,0,0,1000,599,599
I Kall,2,16,0,5,2800,3599,3599
Snexian,32,32,0,0,1000,1160,999
Ssky,64,64,0,1,1200,2529,999
Vivo,3,32,5,13,3260,10279,10999
Micromax,1,16,5,5,5000,6999,3599
Realme,8,128,16,64,4000,18999,19999
I Kall,4,32,0,5,3000,5699,5699
I Kall,32,64,0,0,800,499,599
Niamia,32,32,0,0,1000,1499,999
Micromax,32,32,0,1,800,799,999
Realme,8,128,32,64,4000,19999,19999
BlackZone,10,10,0,0,1500,699,3599
I Kall,2,16,0,5,2500,3199,3599
Samsung,6,128,32,48,4000,23999,19999
Infinix,3,32,8,13,3050,4499,4499
I Kall,32,64,0,0,1000,599,599
Samsung,3,32,8,13,4000,13099,10999
I Kall,32,64,0,0,1000,549,599
Realme,4,128,16,48,3765,16999,19999
MTR,64,64,0,0,2000,1049,999
I Kall,2,16,0,5,2500,3199,3599
I Kall,32,64,0,0,1000,1099,599
Realme,4,64,8,12,5000,8999,6999
I Kall,2,16,0,5,2500,3199,3599
Vivo,6,128,32,16,5000,15990,13990
Realme,2,32,5,13,4230,7499,6999
ITEL,32,32,0,0,1000,775,599
Realme,3,32,5,13,4000,6999,10999
I Kall,32,64,0,0,1000,799,599
Tecno,2,16,0,13,3050,4848,6199
Karbonn,32,32,0,0,1800,899,999
Niamia,32,32,0,0,1000,849,999
Lava,4,1,0,0,800,745,799
Realme,6,64,16,64,4000,16999,27999
Gionee,3,32,13,13,4050,6999,4499
Honor,4,64,8,13,4000,7999,4499
Gfive,64,256,0,0,1050,649,599
I Kall,1,8,2,5,2200,3099,3599
Inovu,32,32,0,0,1200,1549,599
Niamia,32,32,0,0,1000,1299,999
Mafe,32,64,0,0,1050,999,999
OPPO,6,128,16,48,4065,36990,19999
Coolpad,2,16,5,8,3000,5190,4499
Tecno,4,64,16,13,3500,9999,10999
I Kall,2,16,0,5,2500,3399,3599
Samsung,8,128,32,48,4500,39999,19999
I Kall,4,32,0,5,3000,5699,5699
Mymax,32,32,0,1,1000,559,999
Samsung,4,64,16,16,4000,13990,10999
Niamia,32,32,0,0,1000,1299,999
I Kall,4,32,0,5,3000,5699,5699
Peace,32,32,0,0,850,518,999
Micromax,56,56,0,0,800,1099,999
Blackbear,32,32,0,0,1850,999,5699
I Kall,4,32,0,5,3000,5699,5699
InFocus,32,32,0,0,3000,1499,5699
Redmi,4,64,13,48,4000,11575,9999
Inovu,32,32,0,0,800,649,599
Micromax,1,8,5,5,2000,6000,3099
Micromax,32,32,0,0,1000,1131,999
Karbonn,1,8,5,5,2300,3099,3099
Ssky,32,32,0,0,1050,699,999
Gome,3,32,0,13,3500,5749,5699
vivo,6,64,0,16,5000,12650,12650
