Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Kechaoda,0,0,0,0,3600,0,1110
Samsung,0,0,0,0,800,0,1410
Lava,0,0,0,1,1200,0,1479
Gfive,0,0,0,0,1050,0,599
Gfive,0,0,0,1,1800,0,699
Vivo,2,16,5,13,4030,1,7099
Tecno,3,32,5,13,3000,1,6750
I,0,0,0,0,1000,0,999
Good,0,0,0,0,1000,0,1449
OPPO,4,128,16,48,4020,1,12990
Samsung,0,0,0,0,800,0,1395
Honor,4,128,16,48,4000,1,13999
Honor,6,128,16,48,4000,1,16999
Itel,0,0,0,0,1000,0,735
Snexian,0,0,0,1,1000,0,628
Apple,0,64,7,12,0,1,59999
Apple,0,64,7,12,0,1,59999
OPPO,6,128,16,48,4000,1,16990
Gfive,0,0,0,0,1800,0,699
Apple,0,128,7,12,0,1,54900
Micromax,3,32,5,13,3000,1,9999
Lava,0,0,0,0,1000,0,1065
Itel,0,0,0,0,2500,0,980
Itel,0,0,0,0,2500,0,983
Gfive,0,0,0,1,1800,0,699
Nokia,0,0,0,0,800,0,1085
Apple,0,128,12,12,0,1,69900
Asus,4,64,8,13,4000,1,8999
Good,0,0,0,0,1000,0,1449
Samsung,4,64,25,25,4000,1,14999
Asus,4,64,13,12,5000,1,11999
OPPO,4,128,16,48,5000,1,14990
OPPO,4,128,16,48,5000,1,14990
Micromax,0,0,0,0,2200,0,993
Gfive,0,0,0,1,1050,0,649
Redmi,6,128,20,48,4000,1,24999
Kechaoda,0,0,0,0,1000,0,820
Karbonn,0,0,0,0,1900,0,945
Snexian,0,0,0,1,1000,0,628
Samsung,8,128,32,48,4500,1,39999
Kechaoda,0,0,0,0,800,0,855
Itel,0,0,0,0,1000,0,740
Mi,6,128,32,48,4030,1,13999
Apple,0,64,12,12,0,1,64900
Gfive,0,0,0,0,1800,0,699
Micromax,0,0,0,0,1750,0,1058
Micromax,3,32,16,13,2900,1,4999
Samsung,4,64,16,48,6000,1,14160
Gfive,0,0,0,1,1800,0,699
Vivo,6,64,32,16,4500,1,15899
Redmi,8,128,0,64,4500,1,18990
Redmi,6,128,0,64,4500,1,16299
Moto,4,64,25,48,4000,1,12999
Honor,4,32,8,13,4000,1,7999
Good,0,0,0,0,1000,0,1449
Kechaoda,0,0,0,0,850,0,915
Samsung,4,128,32,48,4000,1,17499
Redmi,2,32,0,12,4000,1,7999
Gfive,0,0,0,1,1050,0,649
Apple,0,64,7,12,0,1,59999
Realme,6,64,16,16,3500,1,10999
Realme,8,128,16,48,3765,1,19999
POCO,6,64,20,64,4500,1,15999
Coolpad,2,16,0,5,2500,1,3999
Snexian,0,0,0,1,1000,0,628
Samsung,6,64,8,12,3500,1,29999
Gfive,0,0,0,1,1000,0,639
Samsung,4,64,16,16,4000,1,13990
Gfive,0,0,0,0,1800,0,699
OnePlus,8,256,16,48,3700,1,31376
OPPO,4,64,8,13,4230,1,9990
Karbonn,0,0,0,0,800,0,1299
Redmi,6,64,20,12,4000,1,10999
Honor,4,128,16,48,4000,1,13999
Gfive,0,0,0,1,1800,0,699
Infinix,3,32,8,13,3050,1,4499
Samsung,8,128,32,48,4500,1,39999
Easyfone,0,0,0,0,700,0,3349
Good,0,0,0,0,1000,0,1449
Mi,6,128,32,48,4030,1,13999
I,0,0,0,0,800,0,449
InFocus,4,64,8,13,3000,1,6450
Samsung,0,0,0,0,1000,0,2335
Itel,0,0,0,0,2500,0,1135
Gfive,0,0,0,1,1050,0,649
Vivo,3,64,8,13,5000,1,9490
Gionee,3,32,13,13,4050,1,6499
Kechaoda,0,0,0,0,400,0,885
Snexian,0,0,0,1,1000,0,628
Karbonn,0,0,0,0,1800,0,949
Gfive,0,0,0,1,1000,0,1099
Gfive,0,0,0,1,1000,0,1099
Karbonn,0,0,0,0,1900,0,1041
Karbonn,0,0,0,0,1900,0,1049
Gfive,0,0,0,0,1800,0,699
Samsung,4,128,32,48,4000,1,17499
Redmi,6,64,20,12,4000,1,10999
Mi,6,128,32,48,4030,1,13999
Gfive,0,0,0,1,1800,0,699
Apple,0,128,7,12,0,1,54900
Redmi,4,64,13,48,4000,1,9999
Micromax,0,0,0,0,3000,0,1185
Lava,0,0,0,0,600,0,621
Gfive,0,0,0,1,1000,0,899
Good,0,0,0,0,1000,0,1449
Micromax,0,0,0,0,1300,0,890
Apple,0,64,7,12,0,1,49900
I,0,0,0,0,800,0,399
EcoTel,0,0,0,0,1000,0,596
Kechaoda,0,0,0,0,800,0,860
OPPO,4,64,25,16,3600,1,13990
Mobiistar,3,32,13,13,3000,1,6590
OPPO,4,64,25,16,3600,1,13990
Tecno,2,32,8,8,4000,1,6299
Snexian,0,0,0,1,1000,0,628
Itel,0,0,0,0,1000,0,877
Blackbear,2,16,8,13,3500,1,4999
Nokia,2,16,5,13,4000,1,7499
Gfive,0,0,0,0,1800,0,699
Itel,0,0,0,0,3000,0,1349
Realme,8,128,16,64,4000,1,29999
Itel,0,0,0,0,3000,0,1272
Karbonn,0,0,0,0,800,0,1319
Apple,0,32,7,12,0,1,34999
Gfive,0,0,0,1,1800,0,699
Kechaoda,0,0,0,0,3600,0,1110
Kechaoda,0,0,0,0,2000,0,999
Lava,0,0,0,0,1000,0,1125
Good,0,0,0,0,1000,0,1449
Kechaoda,0,0,0,0,400,0,910
Jivi,0,0,0,0,1000,0,849
OPPO,6,128,16,48,4020,1,16990
Kechaoda,0,0,0,0,400,0,910
Ismart,2,32,5,8,3000,1,4989
Snexian,0,0,0,1,1000,0,628
Karbonn,0,0,0,1,1750,0,1099
Apple,0,32,7,12,0,1,27999
Lava,0,0,0,1,1200,0,1479
Gfive,0,0,0,0,1800,0,699
Realme,3,32,8,13,4230,1,9799
Samsung,6,128,10,16,3100,1,47990
Lenovo,3,32,5,13,4000,1,7499
Samsung,6,128,32,48,4000,1,24999
Kechaoda,0,0,0,0,850,0,840
Gfive,0,0,0,1,1800,0,699
Kechaoda,0,0,0,0,850,0,815
YUHO,4,32,0,13,3300,1,7199
Kechaoda,0,0,0,0,800,0,850
Good,0,0,0,0,1000,0,1449
Karbonn,0,0,0,1,1400,0,1490
Samsung,6,128,32,48,4000,1,19999
OnePlus,8,256,16,48,3700,1,34468
Samsung,4,64,0,13,5000,1,12499
Salora,0,0,0,1,2000,0,659
EcoTel,0,0,0,0,1000,0,596
I,0,0,0,0,1000,0,599
Apple,0,128,7,12,0,1,54900
Muphone,0,0,0,1,1800,0,849
Snexian,0,0,0,1,1000,0,628
Muphone,0,0,0,1,1800,0,849
Muphone,0,0,0,1,1800,0,799
Muphone,0,0,0,1,1700,0,999
Karbonn,0,0,0,0,1750,0,1129
Jivi,0,0,0,1,1450,0,920
Gfive,0,0,0,0,1800,0,699
Micromax,0,0,0,0,3000,0,1150
OPPO,2,32,5,8,4000,1,7490
Salora,0,0,0,1,2000,0,659
Gfive,0,0,0,1,1800,0,699
ITEL,2,32,0,8,2400,1,4680
Jmax,0,0,0,1,1050,0,499
Jmax,0,0,0,1,1050,0,499
Tecno,2,16,13,13,3050,1,6089
OnePlus,12,256,16,48,4000,1,50495
Good,0,0,0,0,1000,0,1449
Jmax,0,0,0,1,1050,0,499
I,0,0,0,0,1000,0,489
Kechaoda,0,0,0,0,800,0,850
Gfive,0,0,0,1,1050,0,649
Kechaoda,0,0,0,0,800,0,850
Gfive,0,0,0,0,950,0,499
Micromax,0,0,0,0,1000,0,799
Samsung,0,0,0,0,800,0,1662
I,0,0,0,0,1500,0,489
Snexian,0,0,0,1,1000,0,628
Samsung,4,64,8,12,3000,1,26999
Apple,0,64,7,12,0,1,49900
Detel,0,0,0,0,1000,0,599
Gfive,0,0,0,0,1800,0,699
Lava,1,16,5,8,3000,1,4699
BlackBear,0,0,0,0,1550,0,1399
Samsung,3,32,8,13,3000,1,10490
Kechaoda,0,0,0,0,1000,0,840
Karbonn,1,8,5,5,2300,1,3099
Gfive,0,0,0,1,1800,0,699
Karbonn,2,16,0,8,2500,1,3999
Kechaoda,0,0,0,0,1000,0,845
Nokia,4,64,16,16,3060,1,8999
Good,0,0,0,0,1000,0,1449
Samsung,8,512,10,16,3400,1,59900
Micromax,0,0,0,0,2500,0,1298
Kechaoda,0,0,0,0,3600,0,1121
OPPO,4,32,8,13,4230,1,11990
Redmi,6,128,20,48,4000,1,24999
Gfive,0,0,0,1,1050,0,649
I,0,0,0,0,1000,0,499
Inovu,0,0,0,0,1200,0,799
Redmi,6,64,20,12,4000,1,10999
