Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
I,2.0,16.0,0,5,2800,1,3749
POCO,8.0,256.0,20,12,4000,1,16999
Motorola,4.0,128.0,12,12,3500,1,10999
Micromax,0.03125,0.03125,0,1,800,0,707
I,4.0,64.0,5,8,3000,1,4499
Realme,8.0,128.0,16,64,4000,1,17999
Realme,4.0,64.0,16,64,4000,1,14999
Snexian,0.25,0.25,0,1,1080,0,649
Honor,6.0,128.0,16,48,4000,1,16999
Nokia,6.0,64.0,20,48,3500,1,17099
I,2.0,16.0,0,5,2500,1,3199
Apple,,128.0,12,12,0,1,69900
I,0.03125,0.0625,0,0,1000,0,639
Apple,,128.0,12,12,0,1,69900
I,2.0,16.0,0,5,2800,1,3699
EcoTel,0.03125,0.0625,0,0,1000,0,599
Gionee,3.0,32.0,13,13,4050,1,5999
Samsung,,0,0,0,800,0,1760
Nokia,0.00390625,0.00390625,0,0,800,0,1247
Lenovo,4.0,64.0,16,16,4050,1,8999
I,4.0,64.0,5,8,3000,1,4499
Motorola,4.0,64.0,8,13,4000,1,8999
Vivo,6.0,128.0,32,16,4500,1,17990
Vivo,6.0,128.0,32,48,3700,1,19990
I,2.0,16.0,0,5,2800,1,3749
Apple,,64.0,12,12,0,1,64900
Redmi,6.0,128.0,20,48,4000,1,23999
Gfive,0.03125,0.03125,0,1,1000,0,899
Apple,,64.0,7,12,0,1,36999
Mi,4.0,64.0,32,48,4030,1,11999
I,4.0,64.0,5,8,3000,1,4499
Mi,6.0,128.0,32,48,4030,1,13999
Vivo,3.0,32.0,8,13,4030,1,9450
I,0.03125,0.0625,0,0,1000,0,1199
I,2.0,16.0,0,5,2500,1,3199
Asus,3.0,32.0,8,13,4000,1,6999
Lava,0.03125,0.03125,0,1,2500,0,1399
Micromax,0.03125,0.03125,0,0,3000,0,1129
Black,6.0,128.0,20,48,4000,1,19999
Lava,0.03125,0.0234375,0,0,1000,0,1065
I,4.0,64.0,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,850,0,845
Honor,4.0,128.0,16,13,3000,1,8999
OPPO,3.0,64.0,8,12,5000,1,11490
I,2.0,16.0,0,5,2800,1,3749
Vivo,4.0,64.0,0,16,5000,1,12990
Micromax,0.03125,0.03125,0,0,1800,0,869
Moto,4.0,64.0,25,48,4000,1,12999
OPPO,8.0,128.0,44,64,4025,1,29990
OPPO,8.0,128.0,44,64,4025,1,29990
I,4.0,64.0,5,8,3000,1,4499
Redmi,2.0,32.0,5,12,4000,1,6199
Realme,2.0,16.0,5,13,4000,1,6999
Gfive,0.03125,0.03125,0,1,1000,0,899
I,2.0,16.0,0,5,2500,1,3199
Realme,12.0,256.0,16,64,4000,1,33999
Realme,6.0,64.0,16,64,4000,1,27999
Realme,6.0,64.0,16,64,4000,1,27999
Realme,8.0,128.0,16,64,4000,1,29999
Realme,8.0,128.0,16,64,4000,1,29999
I,2.0,16.0,0,5,2800,1,3699
Realme,12.0,256.0,16,64,4000,1,33999
Lava,0.0234375,0.0234375,0,0,600,0,675
OPPO,2.0,32.0,5,8,4000,1,7490
I,4.0,64.0,5,8,3000,1,4499
Hicell,0.03125,0.0625,0,0,1050,0,599
Micromax,0.03125,0.03125,0,0,1300,0,880
Karbonn,0.03125,0.03125,0,0,1000,0,699
Hicell,0.03125,0.0625,0,0,1050,0,599
Infinix,4.0,64.0,16,12,4500,1,6999
I,2.0,16.0,0,5,2800,1,3749
I,0.03125,0.0625,0,0,1000,0,1299
Lava,0.03125,0.0244140625,0,0,1000,0,1129
Itel,0.03125,0.03125,0,0,1000,0,746
I,4.0,64.0,5,8,3000,1,4499
Nokia,2.0,16.0,5,13,3000,1,5499
I,0.03125,0.0625,0,0,1000,0,649
OPPO,4.0,128.0,16,48,4020,1,12990
OPPO,8.0,128.0,16,48,5000,1,19499
Apple,,64.0,12,12,0,1,64900
I,2.0,16.0,0,5,2500,1,3199
Itel,0.00390625,0.00390625,0,0,3000,0,1270
Karbonn,,,0,2,1800,0,1129
Kechaoda,0.03125,0.03125,0,0,800,0,885
I,2.0,16.0,0,5,2800,1,3699
Kechaoda,0.03125,0.03125,0,0,800,0,940
Mi,4.0,64.0,32,48,4030,1,11999
I,0.03125,0.0625,0,0,1000,0,1199
Mobiistar,3.0,32.0,13,13,3000,1,6690
Apple,,32.0,7,12,0,1,32999
I,4.0,64.0,5,8,3000,1,4499
Lenovo,4.0,64.0,16,13,4050,1,7999
Easyfone,0.03125,0.03125,0,0,700,0,3349
Gfive,0.03125,0.03125,0,0,1000,0,499
I,2.0,16.0,0,5,2800,1,3749
I,0.03125,0.0625,0,0,1000,0,1199
Apple,,128.0,7,12,0,1,54900
Lava,0.03125,0.03125,0,1,1200,0,1479
Lava,0.03125,0.03125,0,1,1200,0,1479
Realme,6.0,64.0,16,16,3500,1,10999
I,4.0,64.0,5,8,3000,1,4499
Nokia,0.00390625,0.00390625,0,0,800,0,1245
Micromax,0.03125,0.03125,0,0,1750,0,849
Karbonn,0.03125,0.03125,0,0,1000,0,699
I,2.0,16.0,0,5,2800,1,3699
Snexian,0.03125,0.03125,0,0,800,0,1160
Vivo,6.0,64.0,32,16,4500,1,16990
Snexian,0.03125,0.03125,0,0,1000,0,1145
I,0.03125,0.0625,0,0,1000,0,1199
Lava,0.03125,0.03125,0,1,1750,0,1579
I,2.0,16.0,0,5,2500,1,3199
Karbonn,,,0,1,1750,0,1099
Redmi,4.0,64.0,13,48,4000,1,12199
Karbonn,0.0625,0.0625,0,0,1800,0,1050
I,4.0,64.0,5,8,3000,1,4499
LG,4.0,128.0,5,16,3300,1,60000
Samsung,3.0,32.0,0,13,5000,1,10996
Itel,0.00390625,0.00390625,0,0,3000,0,1338
Samsung,6.0,128.0,32,48,4000,1,23999
Micromax,2.0,16.0,5,5,2200,1,3799
I,2.0,16.0,0,5,2800,1,3749
Asus,4.0,64.0,13,12,5000,1,11999
I,0.03125,0.03125,0,0,1000,0,639
I,0.03125,0.0625,0,0,1000,0,639
I,4.0,64.0,5,8,3000,1,4499
Karbonn,0.03125,0.03125,0,0,1900,0,1039
Samsung,4.0,64.0,25,25,4000,1,13999
Karbonn,0.03125,0.03125,0,0,1900,0,1041
Lava,0.03125,0.0234375,0,0,1000,0,1050
Jmax,0.03125,0.03125,0,1,1000,0,499
I,2.0,16.0,0,5,2800,1,3699
Jmax,0.03125,0.03125,0,1,1000,0,499
OPPO,8.0,128.0,44,64,4025,1,29990
Kechaoda,0.03125,0.03125,0,0,850,0,949
I,2.0,16.0,0,5,2500,1,3199
Karbonn,1.0,8.0,5,5,2300,1,3099
Ismart,2.0,32.0,5,8,3000,1,5290
Samsung,8.0,128.0,10,64,4500,1,73999
Karbonn,0.03125,0.03125,0,0,1000,0,899
Lava,0.00390625,0.0029296875,0,0,800,0,879
I,4.0,64.0,5,8,3000,1,4499
Redmi,3.0,32.0,5,13,3120,1,6999
EcoTel,0.03125,0.0625,0,0,1000,0,599
EcoTel,0.03125,0.0625,0,0,1000,0,599
I,2.0,16.0,0,5,2800,1,3749
Lava,0.03125,,0,0,600,0,621
Realme,6.0,64.0,16,16,3500,1,10999
Blackbear,0.0625,0.0625,0,1,1450,0,610
Motorola,6.0,128.0,5,16,2510,1,124999
iQOO,8.0,256.0,16,48,4440,1,39990
I,4.0,64.0,5,8,3000,1,4499
iQOO,8.0,256.0,16,48,4440,1,39990
iQOO,8.0,128.0,16,48,4440,1,36990
OPPO,3.0,32.0,8,13,4230,1,7490
I,2.0,16.0,0,5,2500,1,3199
Jmax,0.03125,0.03125,0,1,1050,0,499
Jmax,0.03125,0.03125,0,1,1050,0,499
Apple,,64.0,12,12,0,1,64900
Apple,,64.0,7,12,0,1,49900
XOLO,2.0,16.0,5,8,3000,1,3999
I,4.0,64.0,5,8,3000,1,4499
Nokia,,0.03125,0,0,850,0,1099
Lava,1.0,16.0,5,8,3000,1,4699
I,2.0,16.0,0,5,2200,1,3299
I,2.0,16.0,0,5,2800,1,3749
Kechaoda,0.03125,0.03125,0,0,850,0,875
Samsung,4.0,64.0,16,48,6000,1,15490
Samsung,8.0,128.0,10,64,4500,1,73999
LG,6.0,128.0,8,16,3000,1,16999
Karbonn,0.03125,0.03125,0,0,1800,0,897
I,4.0,64.0,5,8,3000,1,4499
Muphone,0.03125,0.03125,0,1,1700,0,999
Micromax,0.03125,0.03125,0,1,1000,0,819
OPPO,6.0,128.0,16,48,4000,1,16990
I,2.0,16.0,0,5,2500,1,3199
Realme,6.0,64.0,25,16,4045,1,11999
Apple,,128.0,7,12,0,1,54900
Realme,6.0,128.0,25,16,4045,1,12999
Samsung,6.0,128.0,32,48,4000,1,23999
Apple,,128.0,7,12,0,1,59999
I,2.0,16.0,0,5,2800,1,3699
I,0.03125,0.0625,0,0,1000,0,639
Lenovo,4.0,64.0,16,13,4050,1,10999
