Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Vivo,6,128,32,16,4500,1,17990
Vivo,6,128,32,48,3700,1,19990
I,2,16,0,5,2800,1,4399
Apple,,64,12,12,0,1,64900
Redmi,6,128,20,48,4000,1,23999
Gfive,0.03125,0.03125,0,1,1000,0,899
Apple,,64,7,12,0,1,36999
Mi,4,64,32,48,4030,1,11999
I,4,64,5,8,3000,1,4499
Mi,6,128,32,48,4030,1,13999
Vivo,3,32,8,13,4030,1,9990
I,0.03125,0.0625,0,0,1000,0,1099
I,2,16,0,5,2500,1,2999
Asus,3,32,8,13,4000,1,6999
Lava,0.03125,0.03125,0,1,2500,0,1399
Micromax,0.03125,0.03125,0,0,3000,0,1129
Black,6,128,20,48,4000,1,19999
Lava,0.03125,0.0234375,0,0,1000,0,1065
I,4,64,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,850,0,814
Honor,4,128,16,13,3000,1,8999
OPPO,3,64,8,12,5000,1,11490
I,2,16,0,5,2800,1,4399
Vivo,4,64,0,16,5000,1,12490
Micromax,0.03125,0.03125,0,0,1800,0,869
Moto,4,64,25,48,4000,1,11999
OPPO,8,128,44,64,4025,1,29990
OPPO,8,128,44,64,4025,1,29990
I,4,64,5,8,3000,1,4499
Redmi,2,32,5,12,4000,1,6199
Realme,2,16,5,13,4000,1,5999
Gfive,0.03125,0.03125,0,1,1000,0,899
I,2,16,0,5,2500,1,2999
Realme,12,256,16,64,4000,1,33999
Realme,6,64,16,64,4000,1,27999
Realme,6,64,16,64,4000,1,27999
Realme,8,128,16,64,4000,1,29999
Realme,8,128,16,64,4000,1,29999
I,2,16,0,5,2800,1,3699
Realme,12,256,16,64,4000,1,33999
Lava,0.0234375,0.0234375,0,0,600,0,675
OPPO,2,32,5,8,4000,1,7490
I,4,64,5,8,3000,1,4499
Hicell,0.03125,0.0625,0,0,1050,0,599
Micromax,0.03125,0.03125,0,0,1300,0,882
Karbonn,0.03125,0.03125,0,0,1000,0,699
Hicell,0.03125,0.0625,0,0,1050,0,599
Infinix,4,64,16,12,4500,1,6999
I,2,16,0,5,2800,1,4399
I,0.03125,0.0625,0,0,1000,0,1299
Lava,0.03125,0.024414063,0,0,1000,0,1129
Itel,0.03125,0.03125,0,0,1000,0,746
I,4,64,5,8,3000,1,4499
Nokia,2,16,5,13,3000,1,5499
I,0.03125,0.0625,0,0,1000,0,479
OPPO,4,128,16,48,4020,1,12990
OPPO,8,128,16,48,5000,1,19499
Apple,,64,12,12,0,1,64900
I,2,16,0,5,2500,1,2999
Itel,0.00390625,0.00390625,0,0,3000,0,1270
Karbonn,,,0,2,1800,0,1139
Kechaoda,0.03125,0.03125,0,0,800,0,848
I,2,16,0,5,2800,1,3699
Kechaoda,0.03125,0.03125,0,0,800,0,880
Mi,4,64,32,48,4030,1,11999
I,0.03125,0.0625,0,0,1000,0,1199
Mobiistar,3,32,13,13,3000,1,6590
Apple,,32,7,12,0,1,32999
I,4,64,5,8,3000,1,4499
Lenovo,4,64,16,13,4050,1,7999
Easyfone,0.03125,0.03125,0,0,700,0,3349
Gfive,0.03125,0.03125,0,0,1000,0,499
I,2,16,0,5,2800,1,4399
I,0.03125,0.0625,0,0,1000,0,999
Apple,,128,7,12,0,1,54900
Lava,0.03125,0.03125,0,1,1200,0,1439
Lava,0.03125,0.03125,0,1,1200,0,1439
Realme,6,64,16,16,3500,1,10999
I,4,64,5,8,3000,1,4499
Nokia,0.00390625,0.00390625,0,0,800,0,1246
Micromax,0.03125,0.03125,0,0,1750,0,800
Karbonn,0.03125,0.03125,0,0,1000,0,699
I,2,16,0,5,2800,1,3699
Snexian,0.03125,0.03125,0,0,800,0,1145
Vivo,6,64,32,16,4500,1,16990
Snexian,0.03125,0.03125,0,0,1000,0,1145
I,0.03125,0.0625,0,0,1000,0,1099
Lava,0.03125,0.03125,0,1,1750,0,1599
I,2,16,0,5,2500,1,2999
Karbonn,,,0,1,1750,0,1049
Redmi,4,64,13,48,4000,1,12199
Karbonn,0.0625,0.0625,0,0,1800,0,865
I,4,64,5,8,3000,1,4499
LG,4,128,5,16,3300,1,14999
Samsung,3,32,0,13,5000,1,10999
Itel,0.00390625,0.00390625,0,0,3000,0,1338
Samsung,6,128,32,48,4000,1,23999
Micromax,2,16,5,5,2200,1,3667
I,2,16,0,5,2800,1,4399
Asus,4,64,13,12,5000,1,11999
I,0.03125,0.03125,0,0,1000,0,479
I,0.03125,0.0625,0,0,1000,0,479
I,4,64,5,8,3000,1,4499
Karbonn,0.03125,0.03125,0,0,1900,0,1049
Samsung,4,64,25,25,4000,1,13999
Karbonn,0.03125,0.03125,0,0,1900,0,1041
Lava,0.03125,0.0234375,0,0,1000,0,1050
