RAM,Storage,Front Camera,Back Camera,Battery Capacity,Company,Price,Prediction
0.03125,0.03125,0,0,1750,Karbonn,769,999
4.0,64.0,8,12,4230,OPPO,11490,4499
0.03125,0.03125,0,2,1450,Micromax,1340,999
8.0,128.0,16,64,4300,Realme,18999,29999
1.0,16.0,0,5,2200,Kekai,3899,3199
2.0,16.0,0,13,3000,Homtom,3715,3199
0.03125,0.0625,0,0,1000,I,1099,999
0.03125,0.03125,0,0,800,Easyfone,3999,599
4.0,64.0,16,64,4000,Realme,14999,12999
0.03125,0.03125,0,0,600,Winstar,1999,599
0.03125,0.03125,0,0,1000,Niamia,949,999
2.0,16.0,0,5,2800,I,3699,3749
2.0,16.0,5,8,2500,XOLO,6888,4499
1.0,8.0,0,8,2000,Alcatel,4999,3199
4.0,64.0,5,8,3000,I,4499,4499
0.03125,0.0625,0,0,1000,I,639,999
0.03125,0.03125,0,0,1450,Karbonn,836,999
2.0,16.0,0,5,2800,I,3749,3749
0.03125,0.03125,0,0,1000,Krex,699,999
3.0,32.0,8,13,3050,Tecno,7199,4499
2.0,16.0,0,5,2800,I,3749,3749
4.0,64.0,16,12,3080,Redmi,10999,10999
2.0,16.0,5,8,2700,Bluboo,5299,4499
4.0,64.0,5,8,3000,I,4499,4499
1.0,8.0,2,8,2000,Yu,4695,3199
0.03125,0.03125,0,1,1000,InFocus,641,599
2.0,16.0,0,5,2500,I,3199,3199
0.03125,0.03125,0,0,1000,Niamia,1799,999
2.0,16.0,5,13,3000,Gionee,5487,6999
0.03125,0.03125,0,0,1200,Itel,1345,999
0.03125,0.03125,0,0,1000,Ziox,900,999
0.03125,0.0625,0,0,1000,I,1199,999
4.0,128.0,20,13,5000,Vivo,13990,13990
0.0625,0.0625,0,0,1800,Karbonn,1050,999
2.0,16.0,5,8,3000,XOLO,3999,6999
0.03125,0.03125,0,0,800,Megus,599,599
2.0,16.0,8,13,3000,Meizu,3559,6999
0.03125,0.0341796875,0,1,1050,Ssky,779,999
4.0,64.0,5,8,3000,I,4499,4499
6.0,128.0,20,48,4000,Black,19999,14999
0.0625,0.0625,0,1,1200,Ssky,999,999
0.03125,0.03125,0,0,1450,Micromax,1099,999
2.0,16.0,0,5,2800,I,3749,3749
2.0,16.0,0,5,2800,I,3749,3749
0.03125,0.0625,0,0,1000,I,1199,999
3.0,32.0,5,13,3020,Honor,11500,4499
0.03125,0.03125,0,0,1000,Tork,749,999
0.03125,0.0625,0,0,1500,I,739,999
3.0,32.0,8,13,3000,Samsung,10499,4499
4.0,64.0,24,24,3300,Samsung,19999,8999
0.0234375,0.0234375,0,0,1000,Tambo,1049,999
2.0,16.0,0,5,2800,I,3749,3749
0.03125,0.03125,0,0,800,Kechaoda,890,599
2.0,16.0,0,5,2800,I,3749,3749
4.0,64.0,20,48,3500,Nokia,15499,9999
1.0,8.0,5,5,2600,BlackZone,3200,999
2.0,16.0,0,5,2800,I,3699,3749
0.00390625,0.0078125,0,0,1020,Nokia,1600,999
1.0,16.0,5,5,2550,Lava,4799,999
0.03125,0.03125,0,1,1800,Gfive,789,999
0.03125,0.03125,0,1,1050,Ssky,1249,999
